Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
002,Sample Account,VSS,VANGUARD INTL EQUITY INDEX FDS FTSE SMCAP ETF,61.696,$324.84 ,($4.15),"$20,041.46 ",($256.27),-1.28%,"($3,756.70)",-15.79%,3.82%,"$23,798.16 ",$385.73 ,Cash
002,Sample Account,CRWD,CROWDSTRIKE HLDGS INC CL A,214.092,$76.86 ,($0.36),"$16,456.18 ",($76.87),-0.47%,"$4,910.71 ",42.53%,3.13%,"$11,545.47 ",$53.93 ,Cash
002,Sample Account,V,VISA INC,115.651,$157.81 ,$1.94 ,"$18,250.40 ",$224.57 ,1.23%,($397.37),-2.13%,3.47%,"$18,647.77 ",$161.24 ,Cash
002,Sample Account,FSPTX,FIDELITY SELECT TECHNOLOGY,131.581,$83.10 ,$1.12 ,"$10,934.99 ",$146.83 ,1.34%,"$4,235.89 ",63.23%,2.08%,"$6,699.10 ",$50.91 ,Cash
002,Sample Account,SOXX,ISHARES TR ISHARES SEMICDTR,397.024,$5.33 ,($0.10),"$2,115.73 ",($38.51),-1.82%,($180.84),-7.87%,0.40%,"$2,296.57 ",$5.78 ,Cash
002,Sample Account,LRCX,LAM RESEARCH CORP COM NEW,71.780,$15.22 ,($0.16),"$1,092.63 ",($11.51),-1.05%,$134.43 ,14.03%,0.21%,$958.20 ,$13.35 ,Cash
002,Sample Account,ACN,ACCENTURE PLC,335.750,$45.33 ,($0.31),"$15,219.46 ",($102.58),-0.67%,"$3,073.67 ",25.31%,2.90%,"$12,145.79 ",$36.18 ,Cash
002,Sample Account,IEMG,ISHARES CORE MSCI EMERGING MARKETS ETF,259.131,$67.58 ,($0.41),"$17,512.92 ",($105.93),-0.60%,$771.35 ,4.61%,3.33%,"$16,741.57 ",$64.61 ,Cash
002,Sample Account,MELI,MERCADOLIBRE INC COM USD0.001,272.007,$64.06 ,($0.66),"$17,425.05 ",($180.47),-1.04%,"($1,607.77)",-8.45%,3.32%,"$19,032.82 ",$69.97 ,Cash
002,Sample Account,BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,445.476,$19.04 ,$0.39 ,"$8,481.75 ",$172.06 ,2.03%,"$3,046.61 ",56.05%,1.61%,"$5,435.14 ",$12.20 ,Cash
002,Sample Account,PLD,PROLOGIS INC. COM,19.315,$626.09 ,($12.47),"$12,092.91 ",($240.90),-1.99%,"($2,057.51)",-14.54%,2.30%,"$14,150.42 ",$732.61 ,Cash
002,Sample Account,GEV,GE VERNOVA INC COM,66.478,$57.37 ,($0.24),"$3,813.59 ",($15.64),-0.41%,$496.91 ,14.98%,0.73%,"$3,316.68 ",$49.89 ,Cash
002,Sample Account,IEI,ISHARES TR 3 7 YR TREAS BD,443.132,$12.42 ,$0.14 ,"$5,505.30 ",$62.27 ,1.13%,($829.43),-13.09%,1.05%,"$6,334.73 ",$14.30 ,Cash
002,Sample Account,MSFT,MICROSOFT CORP,313.071,$51.37 ,$0.59 ,"$16,081.02 ",$184.34 ,1.15%,"$5,610.55 ",53.58%,3.06%,"$10,470.47 ",$33.44 ,Cash
002,Sample Account,CMI,CUMMINS INC,437.933,$14.47 ,$0.00 ,"$6,336.08 ",($0.51),-0.01%,$339.26 ,5.66%,1.21%,"$5,996.82 ",$13.69 ,Cash
002,Sample Account,ABBNY,ABB LTD SPON ADR EACH REP 1 ORD SHS,345.835,$19.52 ,($0.17),"$6,751.73 ",($58.69),-0.87%,$580.46 ,9.41%,1.29%,"$6,171.27 ",$17.84 ,Cash
002,Sample Account,BAM,BROOKFIELD ASSET MANAGEMENT LTD CLASS A LTD VOTING SHS ISIN #CA1130041058 SEDOL #BPCPYH2,349.355,$43.65 ,($0.55),"$15,248.12 ",($193.75),-1.27%,"$3,237.66 ",26.96%,2.90%,"$12,010.46 ",$34.38 ,Cash
002,Sample Account,ROIV,ROIVANT SCIENCES LTD SHS ISIN #BMG762791017,37.752,$237.21 ,$2.46 ,"$8,955.32 ",$92.70 ,1.04%,"$1,560.63 ",21.10%,1.70%,"$7,394.69 ",$195.88 ,Cash
002,Sample Account,LECO,LINCOLN ELECTRIC HOLDINGS INC,117.299,$196.77 ,$2.08 ,"$23,081.24 ",$244.35 ,1.06%,"$3,953.51 ",20.67%,4.39%,"$19,127.73 ",$163.07 ,Cash
002,Sample Account,BNTX,BIONTECH SE SPON ADS EACH REP 1 ORD SHS,318.472,$32.35 ,$0.32 ,"$10,303.31 ",$103.47 ,1.00%,"$2,583.74 ",33.47%,1.96%,"$7,719.57 ",$24.24 ,Cash
002,Sample Account,FLR,FLUOR CORP COM USD0.01,159.235,$133.74 ,$0.38 ,"$21,296.85 ",$61.19 ,0.29%,"$1,876.27 ",9.66%,4.05%,"$19,420.58 ",$121.96 ,Cash
002,Sample Account,CCJ,CAMECO CORP COM NPV ISIN #CA13321L1085 SEDOL #2166160,179.612,$84.86 ,($1.78),"$15,241.70 ",($319.07),-2.09%,"$1,650.51 ",12.14%,2.90%,"$13,591.19 ",$75.67 ,Cash
002,Sample Account,AGG,ISHARES CORE US AGGREGATE BOND ETF,276.720,$66.39 ,($1.50),"$18,371.62 ",($415.91),-2.26%,"$3,754.45 ",25.69%,3.50%,"$14,617.17 ",$52.82 ,Cash
002,Sample Account,BX,BLACKSTONE INC,155.908,$110.56 ,$1.89 ,"$17,237.76 ",$295.44 ,1.71%,"$5,741.69 ",49.94%,3.28%,"$11,496.07 ",$73.74 ,Cash
002,Sample Account,VWOB,VANGUARD WHITEHALL FDS EM MK GOV BD ETF,5.617,"$1,364.80 ",($26.06),"$7,666.06 ",($146.37),-1.91%,"$1,785.65 ",30.37%,1.46%,"$5,880.41 ","$1,046.89 ",Cash
002,Sample Account,FSLR,FIRST SOLAR INC,344.850,$71.58 ,$0.21 ,"$24,685.16 ",$71.31 ,0.29%,"($4,464.61)",-15.32%,4.70%,"$29,149.77 ",$84.53 ,Cash
002,Sample Account,TMDX,TRANSMEDICS GROUP INC COM,30.037,$354.29 ,$7.01 ,"$10,641.69 ",$210.58 ,1.98%,"($1,157.11)",-9.81%,2.03%,"$11,798.80 ",$392.81 ,Cash
002,Sample Account,FLNC,FLUENCE ENERGY INC COM CL A,271.432,$23.16 ,($0.38),"$6,285.66 ",($103.46),-1.65%,"$1,077.28 ",20.68%,1.20%,"$5,208.38 ",$19.19 ,Cash
,,,,,,,,,,,,,,,
"Synthetic sample data for demonstration only. Values, quantities, gains/losses, account numbers, and account names are randomized.",,,,,,,,,,,,,,,
